,ct,Patient
1,tDC2,p1
2,tpDC,p1
3,tpDC,p1
4,tpDC,p1
5,tpDC,p1
6,tDC3,p1
7,tDC2,p1
8,tpDC,p1
9,tDC3,p1
10,tDC3,p1
11,tDC3,p1
12,tpDC,p1
13,tpDC,p1
14,tDC2,p1
15,tDC1,p1
16,tpDC,p1
17,tDC2,p1
18,tpDC,p1
19,tpDC,p1
20,tpDC,p1
21,tDC2,p1
22,tpDC,p1
23,tpDC,p1
24,tpDC,p1
25,tpDC,p1
26,tpDC,p1
27,tDC2,p1
28,tDC3,p1
29,tpDC,p1
30,tpDC,p1
31,tpDC,p1
32,tDC1,p1
33,tpDC,p1
34,tDC2,p1
35,tDC1,p1
36,tpDC,p1
37,tpDC,p1
38,tpDC,p1
39,tDC2,p1
40,tpDC,p1
41,tDC1,p1
42,tDC3,p1
43,tDC3,p1
44,tDC2,p1
45,tDC2,p1
46,tDC1,p1
47,tpDC,p1
48,tDC1,p1
49,tpDC,p1
50,tpDC,p1
51,tDC2,p1
52,tDC1,p1
53,tpDC,p1
54,tDC3,p1
55,tDC2,p1
56,tDC3,p1
57,tDC3,p1
58,tpDC,p1
59,tDC2,p1
60,tpDC,p1
61,tDC3,p1
62,tpDC,p1
63,tDC2,p1
64,tpDC,p1
65,tpDC,p1
66,tpDC,p1
67,tpDC,p1
68,tDC1,p1
69,tpDC,p1
70,tDC3,p1
71,tpDC,p1
72,tpDC,p1
73,tDC2,p1
74,tDC3,p1
75,tpDC,p1
76,tDC2,p1
77,tDC1,p1
78,tDC3,p1
79,tpDC,p1
80,tpDC,p1
81,tpDC,p1
82,tpDC,p1
83,tDC3,p1
84,tpDC,p1
85,tpDC,p1
86,tDC2,p1
87,tDC1,p1
88,tDC1,p1
89,tDC2,p1
90,tpDC,p1
91,tDC1,p1
92,tpDC,p1
93,tDC1,p1
94,tpDC,p1
95,tpDC,p1
96,tDC2,p1
97,tDC2,p1
98,tpDC,p1
99,tpDC,p1
100,tDC2,p1
101,tpDC,p1
102,tDC2,p1
103,tpDC,p1
104,tpDC,p1
105,tpDC,p1
106,tpDC,p1
107,tDC2,p1
108,tpDC,p1
109,tpDC,p1
110,tpDC,p1
111,tDC3,p1
112,tpDC,p1
113,tDC3,p1
114,tDC3,p1
115,tpDC,p1
116,tDC2,p1
117,tDC1,p1
118,tpDC,p1
119,tDC2,p1
120,tDC1,p1
121,tDC1,p1
122,tDC2,p1
123,tpDC,p1
124,tpDC,p1
125,tDC3,p1
126,tpDC,p1
127,tDC2,p1
128,tpDC,p1
129,tDC1,p1
130,tDC3,p1
131,tDC1,p1
132,tDC3,p1
133,tpDC,p1
134,tpDC,p1
135,tpDC,p1
136,tDC1,p1
137,tpDC,p1
138,tpDC,p1
139,tDC3,p1
140,tDC2,p1
141,tDC2,p1
142,tDC1,p1
143,tpDC,p1
144,tpDC,p1
145,tpDC,p1
146,tpDC,p1
147,tDC2,p1
148,tpDC,p1
149,tDC1,p1
150,tpDC,p1
151,tDC2,p1
152,tpDC,p1
153,tpDC,p1
154,tDC1,p1
155,tDC2,p1
156,tpDC,p1
157,tDC2,p1
158,tDC3,p1
159,tDC1,p1
160,tDC3,p1
161,tDC2,p1
162,tpDC,p1
163,tDC3,p1
164,tpDC,p1
165,tpDC,p1
166,tDC1,p1
167,tpDC,p1
168,tpDC,p1
169,tpDC,p1
170,tDC2,p1
171,tpDC,p1
172,tpDC,p1
173,tDC1,p1
174,tDC2,p1
175,tpDC,p1
176,tpDC,p1
177,tpDC,p1
178,tpDC,p1
179,tpDC,p1
180,tDC1,p1
181,tpDC,p1
182,tDC2,p1
183,tDC2,p1
184,tDC3,p1
185,tDC2,p1
186,tDC1,p1
187,tDC1,p1
188,tpDC,p1
189,tDC1,p1
190,tpDC,p1
191,tpDC,p1
192,tpDC,p1
193,tDC1,p1
194,tpDC,p1
195,tpDC,p1
196,tpDC,p1
197,tDC2,p1
198,tpDC,p1
199,tpDC,p1
200,tDC2,p1
201,tDC1,p1
202,tDC1,p1
203,tpDC,p1
204,tpDC,p1
205,tpDC,p1
206,tpDC,p1
207,tpDC,p1
208,tpDC,p1
209,tDC1,p1
210,tpDC,p1
211,tpDC,p1
212,tDC2,p1
213,tpDC,p1
214,tDC1,p1
215,tDC1,p2
216,tDC1,p2
217,tDC1,p2
218,tDC1,p2
219,tDC3,p2
220,tDC1,p2
221,tDC1,p3
222,tpDC,p3
223,tpDC,p3
224,tDC3,p3
225,tDC1,p3
226,tpDC,p3
227,tDC2,p3
228,tDC1,p3
229,tDC2,p3
230,tpDC,p3
231,tDC2,p3
232,tDC1,p3
233,tDC1,p3
234,tDC1,p3
235,tDC1,p3
236,tDC1,p3
237,tDC2,p3
238,tDC3,p3
239,tDC3,p3
240,tDC2,p3
241,tDC2,p3
242,tDC2,p3
243,tDC2,p3
244,tDC1,p3
245,tDC1,p3
246,tDC1,p3
247,tDC1,p3
248,tDC2,p3
249,tDC2,p3
250,tpDC,p3
251,tDC2,p3
252,tDC1,p3
253,tDC1,p3
254,tDC2,p3
255,tDC2,p3
256,tpDC,p3
257,tDC2,p3
258,tpDC,p3
259,tDC3,p3
260,tDC1,p3
261,tpDC,p3
262,tDC2,p3
263,tDC2,p3
264,tDC1,p3
265,tDC2,p3
266,tpDC,p3
267,tDC2,p3
268,tpDC,p3
269,tDC2,p3
270,tDC2,p3
271,tpDC,p3
272,tDC2,p3
273,tDC2,p3
274,tDC2,p3
275,tpDC,p3
276,tpDC,p3
277,tDC1,p3
278,tDC2,p3
279,tDC2,p3
280,tDC3,p3
281,tpDC,p3
282,tDC1,p3
283,tDC2,p3
284,tDC2,p3
285,tDC1,p3
286,tDC2,p3
287,tDC1,p3
288,tpDC,p3
289,tDC2,p3
290,tDC2,p3
291,tDC1,p3
292,tDC3,p3
293,tDC2,p3
294,tDC2,p3
295,tDC3,p3
296,tDC2,p3
297,tDC2,p3
298,tDC1,p3
299,tDC3,p3
300,tDC1,p3
301,tDC1,p3
302,tDC2,p3
303,tDC2,p3
304,tDC1,p3
305,tDC1,p3
306,tDC1,p3
307,tDC2,p3
308,tDC1,p3
309,tpDC,p3
310,tDC3,p3
311,tpDC,p3
312,tpDC,p3
313,tDC3,p3
314,tDC2,p3
315,tDC1,p3
316,tDC1,p3
317,tDC1,p3
318,tDC2,p3
319,tDC1,p3
320,tDC3,p3
321,tDC2,p3
322,tDC1,p3
323,tDC1,p3
324,tDC2,p3
325,tDC2,p3
326,tDC3,p3
327,tDC2,p3
328,tDC2,p3
329,tDC2,p3
330,tDC2,p3
331,tDC3,p3
332,tDC2,p3
333,tDC1,p3
334,tpDC,p3
335,tDC2,p3
336,tDC2,p3
337,tpDC,p3
338,tDC2,p3
339,tDC2,p3
340,tpDC,p3
341,tDC3,p3
342,tpDC,p3
343,tDC1,p3
344,tDC2,p3
345,tDC3,p3
346,tDC2,p3
347,tpDC,p3
348,tDC3,p3
349,tpDC,p3
350,tDC2,p3
351,tDC2,p3
352,tDC1,p3
353,tDC3,p3
354,tDC2,p3
355,tDC2,p3
356,tDC1,p3
357,tDC1,p3
358,tpDC,p3
359,tDC3,p3
360,tDC2,p3
361,tDC1,p3
362,tDC3,p3
363,tDC2,p3
364,tDC2,p3
365,tDC1,p3
366,tDC1,p3
367,tDC1,p3
368,tDC2,p3
369,tpDC,p3
370,tDC2,p3
371,tDC2,p3
372,tpDC,p3
373,tDC1,p3
374,tDC2,p3
375,tDC2,p3
376,tDC2,p3
377,tpDC,p3
378,tDC3,p3
379,tpDC,p3
380,tpDC,p3
381,tpDC,p3
382,tDC2,p3
383,tpDC,p3
384,tpDC,p3
385,tDC1,p3
386,tDC2,p3
387,tDC2,p3
388,tDC2,p3
389,tpDC,p3
390,tDC2,p3
391,tDC1,p3
392,tpDC,p4
393,tDC2,p4
394,tDC2,p4
395,tpDC,p4
396,tpDC,p4
397,tDC1,p4
398,tpDC,p4
399,tDC2,p4
400,tpDC,p4
401,tpDC,p4
402,tDC1,p4
403,tDC1,p4
404,tDC1,p4
405,tDC1,p4
406,tDC2,p4
407,tDC2,p4
408,tDC2,p4
409,tDC2,p4
410,tDC2,p4
411,tDC3,p4
412,tDC1,p4
413,tDC1,p4
414,tDC3,p4
415,tpDC,p4
416,tDC1,p4
417,tDC1,p4
418,tpDC,p4
419,tDC2,p4
420,tDC3,p4
421,tDC1,p4
422,tpDC,p4
423,tDC1,p4
424,tDC1,p4
425,tpDC,p4
426,tpDC,p4
427,tDC1,p4
428,tpDC,p4
429,tpDC,p4
430,tDC2,p4
431,tpDC,p4
432,tDC2,p4
433,tDC2,p4
434,tpDC,p4
435,tDC2,p4
436,tDC2,p4
437,tpDC,p4
438,tDC2,p4
439,tDC3,p4
440,tpDC,p4
441,tpDC,p4
442,tDC2,p4
443,tDC2,p4
444,tpDC,p4
445,tpDC,p4
446,tDC1,p4
447,tpDC,p4
448,tDC1,p4
449,tDC1,p4
450,tpDC,p4
451,tpDC,p4
452,tDC1,p4
453,tDC2,p4
454,tDC2,p4
455,tDC2,p4
456,tDC1,p4
457,tDC1,p4
458,tDC2,p4
459,tpDC,p4
460,tDC1,p4
461,tpDC,p4
462,tDC2,p4
463,tDC1,p4
464,tDC1,p4
465,tpDC,p4
466,tDC1,p4
467,tpDC,p4
468,tpDC,p4
469,tDC2,p4
470,tpDC,p4
471,tDC2,p4
472,tDC2,p4
473,tDC3,p4
474,tDC1,p4
475,tDC1,p4
476,tpDC,p4
477,tDC2,p4
478,tDC3,p4
479,tpDC,p4
480,tpDC,p4
481,tDC2,p4
482,tpDC,p4
483,tDC2,p4
484,tDC1,p4
485,tDC2,p4
486,tDC1,p4
487,tDC2,p4
488,tDC3,p4
489,tDC2,p4
490,tpDC,p4
491,tDC2,p4
492,tDC2,p4
493,tpDC,p4
494,tDC2,p4
495,tDC2,p4
496,tDC2,p4
497,tpDC,p4
498,tDC1,p4
499,tDC1,p4
500,tDC2,p4
501,tDC3,p4
502,tDC2,p4
503,tDC2,p4
504,tDC2,p4
505,tDC1,p4
506,tDC3,p4
507,tDC2,p4
508,tDC2,p4
509,tDC2,p4
510,tDC1,p4
511,tpDC,p4
512,tDC3,p4
513,tDC1,p4
514,tpDC,p4
515,tDC2,p4
516,tpDC,p4
517,tpDC,p4
518,tpDC,p4
519,tpDC,p4
520,tDC3,p4
521,tpDC,p4
522,tDC3,p4
523,tDC1,p4
524,tDC2,p4
525,tDC3,p4
526,tDC3,p4
527,tpDC,p4
528,tDC2,p4
529,tDC1,p4
530,tDC1,p4
531,tDC1,p4
532,tDC1,p4
533,tDC2,p4
534,tDC1,p4
535,tpDC,p4
536,tDC2,p4
537,tDC3,p4
538,tpDC,p5
539,tDC2,p5
540,tpDC,p5
541,tDC2,p5
542,tDC2,p5
543,tDC1,p5
544,tDC2,p5
545,tDC3,p5
546,tDC2,p5
547,tDC1,p5
548,tDC2,p5
549,tDC2,p5
550,tDC2,p5
551,tpDC,p5
552,tDC2,p5
553,tDC2,p5
554,tDC2,p5
555,tDC3,p5
556,tDC2,p5
557,tDC2,p5
558,tDC1,p5
559,tDC2,p5
560,tDC3,p5
561,tpDC,p5
562,tDC2,p5
563,tDC2,p5
564,tpDC,p5
565,tDC2,p5
566,tDC2,p5
567,tDC2,p5
568,tDC1,p5
569,tDC1,p5
570,tpDC,p5
571,tDC3,p5
572,tDC2,p5
573,tDC1,p5
574,tDC2,p5
575,tDC2,p5
576,tDC2,p5
577,tpDC,p5
578,tpDC,p5
579,tDC2,p5
580,tpDC,p5
581,tDC3,p5
582,tDC2,p5
583,tDC2,p5
584,tpDC,p5
585,tpDC,p5
586,tDC3,p5
587,tDC2,p5
588,tDC1,p5
589,tpDC,p5
590,tpDC,p5
591,tDC2,p5
592,tpDC,p5
593,tDC2,p5
594,tDC2,p5
595,tDC3,p5
596,tDC2,p5
597,tDC2,p5
598,tDC2,p5
599,tDC2,p5
600,tDC2,p5
601,tDC2,p5
602,tDC2,p5
603,tDC2,p5
604,tDC2,p5
605,tDC2,p5
606,tDC2,p5
607,tDC2,p5
608,tDC2,p5
609,tpDC,p5
610,tDC2,p5
611,tDC2,p5
612,tpDC,p5
613,tpDC,p5
614,tDC2,p5
615,tDC3,p5
616,tDC2,p5
617,tDC2,p5
618,tDC2,p5
619,tpDC,p5
620,tDC3,p5
621,tDC2,p5
622,tpDC,p5
623,tDC2,p5
624,tDC2,p5
625,tDC2,p5
626,tDC2,p5
627,tDC2,p5
628,tpDC,p5
629,tDC2,p5
630,tDC2,p5
631,tDC2,p5
632,tpDC,p5
633,tDC2,p5
634,tDC2,p5
635,tDC2,p5
636,tDC2,p5
637,tDC2,p5
638,tDC2,p5
639,tpDC,p5
640,tpDC,p5
641,tDC3,p5
642,tDC2,p5
643,tDC2,p5
644,tDC2,p5
645,tDC2,p5
646,tDC3,p5
647,tpDC,p5
648,tDC2,p5
649,tDC2,p5
650,tpDC,p5
651,tDC3,p5
652,tDC2,p5
653,tDC3,p5
654,tDC2,p5
655,tpDC,p5
656,tDC3,p5
657,tDC2,p5
658,tDC1,p5
659,tDC2,p5
660,tDC2,p5
661,tDC1,p5
662,tDC2,p5
663,tDC2,p6
664,tDC2,p6
665,tDC3,p6
666,tDC2,p6
667,tDC2,p6
668,tDC1,p6
669,tDC2,p6
670,tDC2,p6
671,tDC3,p6
672,tDC3,p6
673,tDC3,p6
674,tDC2,p6
675,tDC1,p6
676,tDC2,p6
677,tDC2,p6
678,tDC2,p6
679,tDC2,p6
680,tDC1,p6
681,tDC2,p6
682,tDC2,p6
683,tDC2,p6
684,tDC3,p6
685,tDC2,p6
686,tDC2,p6
687,tDC2,p6
688,tDC2,p6
689,tDC2,p6
690,tDC1,p6
691,tDC2,p6
692,tDC2,p6
693,tDC2,p6
694,tDC1,p6
695,tDC2,p6
696,tpDC,p6
697,tDC1,p6
698,tDC1,p6
699,tDC2,p6
700,tDC2,p6
701,tDC2,p6
702,tDC2,p6
703,tDC2,p6
704,tDC2,p6
705,tDC1,p6
706,tDC2,p6
707,tpDC,p6
708,tDC2,p6
709,tDC1,p6
710,tDC2,p6
711,tDC1,p6
712,tDC2,p6
713,tDC2,p6
714,tDC2,p6
715,tDC2,p6
716,tDC2,p6
717,tDC2,p6
718,tDC2,p6
719,tDC1,p6
720,tDC2,p6
721,tDC1,p6
722,tDC3,p6
723,tDC2,p6
724,tDC2,p6
725,tDC2,p6
726,tDC2,p6
727,tDC1,p6
728,tDC2,p6
729,tDC2,p6
730,tDC2,p6
731,tDC2,p6
732,tDC2,p6
733,tDC2,p6
734,tDC2,p6
735,tpDC,p6
736,tDC2,p6
737,tDC2,p6
738,tDC2,p6
739,tpDC,p6
740,tpDC,p6
741,tDC2,p6
742,tDC2,p6
743,tDC3,p6
744,tpDC,p6
745,tDC3,p6
746,tDC1,p6
747,tDC2,p6
748,tDC2,p6
749,tDC2,p6
750,tDC2,p6
751,tDC1,p6
752,tDC2,p6
753,tDC2,p6
754,tDC2,p6
755,tDC3,p6
756,tpDC,p6
757,tDC1,p6
758,tDC2,p6
759,tDC2,p6
760,tDC2,p6
761,tDC2,p6
762,tDC2,p6
763,tDC2,p6
764,tDC2,p6
765,tDC1,p6
766,tDC1,p6
767,tDC2,p6
768,tDC2,p6
769,tDC2,p6
770,tDC3,p6
771,tDC2,p6
772,tDC1,p6
773,tpDC,p7
774,tpDC,p7
775,tDC2,p7
776,tDC1,p7
777,tDC2,p7
778,tpDC,p7
779,tpDC,p7
780,tpDC,p7
781,tpDC,p7
782,tDC2,p7
783,tpDC,p7
784,tpDC,p7
785,tDC3,p7
786,tpDC,p7
787,tDC1,p7
788,tpDC,p7
789,tDC1,p7
790,tDC3,p7
791,tpDC,p7
792,tpDC,p7
793,tpDC,p7
794,tDC1,p7
795,tDC3,p7
796,tpDC,p7
797,tpDC,p7
798,tDC2,p7
799,tDC1,p7
800,tpDC,p7
801,tpDC,p7
802,tpDC,p7
803,tpDC,p7
804,tDC3,p7
805,tDC3,p7
806,tDC2,p7
807,tDC3,p7
808,tpDC,p7
809,tpDC,p7
810,tDC1,p7
811,tpDC,p7
812,tpDC,p7
813,tpDC,p7
814,tDC1,p7
815,tDC1,p7
816,tpDC,p7
817,tpDC,p7
818,tpDC,p7
819,tpDC,p7
820,tpDC,p7
821,tDC2,p7
822,tDC1,p7
823,tpDC,p7
824,tpDC,p7
825,tpDC,p7
826,tpDC,p7
827,tpDC,p7
828,tpDC,p7
829,tDC1,p7
830,tpDC,p7
831,tpDC,p7
832,tDC3,p7
833,tpDC,p7
834,tpDC,p7
835,tpDC,p7
836,tpDC,p7
837,tDC2,p7
838,tDC2,p7
839,tpDC,p7
840,tpDC,p7
841,tDC2,p7
842,tDC2,p7
843,tDC1,p7
844,tpDC,p7
845,tDC3,p7
846,tpDC,p7
847,tDC1,p7
848,tpDC,p7
849,tpDC,p7
850,tDC2,p7
851,tDC3,p7
852,tpDC,p7
853,tDC3,p7
854,tpDC,p7
855,tpDC,p7
856,tDC1,p7
857,tpDC,p7
858,tpDC,p7
859,tpDC,p7
860,tDC2,p7
861,tpDC,p7
862,tDC1,p7
863,tDC2,p7
864,tpDC,p7
865,tpDC,p7
866,tpDC,p7
867,tpDC,p7
868,tDC3,p7
869,tpDC,p7
870,tpDC,p7
871,tpDC,p7
872,tDC1,p7
873,tpDC,p7
874,tpDC,p7
875,tpDC,p7
876,tpDC,p7
877,tpDC,p7
878,tDC2,p7
879,tpDC,p7
880,tpDC,p7
881,tDC1,p7
882,tpDC,p7
883,tDC1,p7
884,tDC1,p7
885,tpDC,p7
886,tpDC,p7
887,tpDC,p7
888,tDC3,p7
889,tpDC,p7
890,tpDC,p7
891,tpDC,p7
892,tpDC,p7
893,tpDC,p7
894,tpDC,p7
895,tpDC,p7
896,tDC2,p7
897,tDC3,p7
898,tDC2,p7
899,tDC1,p7
900,tpDC,p7
901,tDC2,p7
902,tpDC,p7
903,tpDC,p7
904,tpDC,p7
905,tpDC,p7
906,tDC2,p7
907,tDC2,p7
908,tpDC,p7
909,tDC3,p7
910,tpDC,p7
911,tDC1,p7
912,tDC3,p7
913,tpDC,p7
